path,wa,channel,datetime,time,date,test
../../tamago_data/2020-12-01/2020-12-01+12-16-04_7.wav,87838,7,2020-12-01 12:16:04,12-16-04,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-16-04_1.wav,100007,1,2020-12-01 12:16:04,12-16-04,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-16-04_4.wav,80634,4,2020-12-01 12:16:04,12-16-04,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-16-04_5.wav,76705,5,2020-12-01 12:16:04,12-16-04,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-16-04_6.wav,74901,6,2020-12-01 12:16:04,12-16-04,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-16-04_3.wav,95024,3,2020-12-01 12:16:04,12-16-04,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-16-04_0.wav,91297,0,2020-12-01 12:16:04,12-16-04,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-16-04_2.wav,99644,2,2020-12-01 12:16:04,12-16-04,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-17-38_4.wav,80512,4,2020-12-01 12:17:38,12-17-38,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-17-38_6.wav,74952,6,2020-12-01 12:17:38,12-17-38,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-17-38_0.wav,91162,0,2020-12-01 12:17:38,12-17-38,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-17-38_2.wav,98694,2,2020-12-01 12:17:38,12-17-38,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-17-38_3.wav,95418,3,2020-12-01 12:17:38,12-17-38,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-17-38_7.wav,87375,7,2020-12-01 12:17:38,12-17-38,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-17-38_1.wav,99408,1,2020-12-01 12:17:38,12-17-38,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-17-38_5.wav,76465,5,2020-12-01 12:17:38,12-17-38,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-19-12_1.wav,101213,1,2020-12-01 12:19:12,12-19-12,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-19-12_2.wav,100742,2,2020-12-01 12:19:12,12-19-12,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-19-12_7.wav,86453,7,2020-12-01 12:19:12,12-19-12,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-19-12_4.wav,80870,4,2020-12-01 12:19:12,12-19-12,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-19-12_3.wav,96281,3,2020-12-01 12:19:12,12-19-12,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-19-12_6.wav,74949,6,2020-12-01 12:19:12,12-19-12,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-19-12_0.wav,91276,0,2020-12-01 12:19:12,12-19-12,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-19-12_5.wav,76847,5,2020-12-01 12:19:12,12-19-12,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-20-45_4.wav,79360,4,2020-12-01 12:20:45,12-20-45,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-20-45_1.wav,100543,1,2020-12-01 12:20:45,12-20-45,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-20-45_3.wav,94512,3,2020-12-01 12:20:45,12-20-45,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-20-45_0.wav,91127,0,2020-12-01 12:20:45,12-20-45,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-20-45_2.wav,99308,2,2020-12-01 12:20:45,12-20-45,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-20-45_6.wav,73612,6,2020-12-01 12:20:45,12-20-45,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-20-45_5.wav,75052,5,2020-12-01 12:20:45,12-20-45,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-20-45_7.wav,86035,7,2020-12-01 12:20:45,12-20-45,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-22-19_2.wav,98732,2,2020-12-01 12:22:19,12-22-19,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-22-19_7.wav,84956,7,2020-12-01 12:22:19,12-22-19,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-22-19_0.wav,90023,0,2020-12-01 12:22:19,12-22-19,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-22-19_5.wav,74143,5,2020-12-01 12:22:19,12-22-19,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-22-19_4.wav,77715,4,2020-12-01 12:22:19,12-22-19,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-22-19_6.wav,73194,6,2020-12-01 12:22:19,12-22-19,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-22-19_3.wav,92903,3,2020-12-01 12:22:19,12-22-19,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-22-19_1.wav,98551,1,2020-12-01 12:22:19,12-22-19,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-23-52_2.wav,98789,2,2020-12-01 12:23:52,12-23-52,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-23-52_1.wav,98946,1,2020-12-01 12:23:52,12-23-52,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-23-52_7.wav,85438,7,2020-12-01 12:23:52,12-23-52,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-23-52_5.wav,74764,5,2020-12-01 12:23:52,12-23-52,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-23-52_3.wav,94411,3,2020-12-01 12:23:52,12-23-52,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-23-52_6.wav,73314,6,2020-12-01 12:23:52,12-23-52,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-23-52_4.wav,78564,4,2020-12-01 12:23:52,12-23-52,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-23-52_0.wav,90220,0,2020-12-01 12:23:52,12-23-52,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-25-26_2.wav,98223,2,2020-12-01 12:25:26,12-25-26,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-25-26_3.wav,94142,3,2020-12-01 12:25:26,12-25-26,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-25-26_7.wav,87220,7,2020-12-01 12:25:26,12-25-26,2020/12/01,
